mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,mode_3_N,mode_3_mean,mode_3_stdev,mode_3_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
4763261.152090792,3.4615879918547924e-06,2.8337346000621317,0.6413009857551257,152641.04863971204,7.518320164865295e-08,1.9140067638716,0.7664807650377279,134196961549.39232,1.063873289978105e-09,1.282098026289226,0.0397996596171781,0.3846502370545486,261.85812395210456,92169.45451967654,0.0017493914768765,SciPy,Timed Out,274.0516257286072
13481234.935818665,1.0631139375231942e-09,2.363044093354728,0.0120660139253093,126389.05810458222,9.500588172794908e-06,2.5001151610337127,1.1909132965340066,2612964306.6671224,4.2751295047152784e-08,1.5575547853680354,0.4781357789214699,4.236879378159463,253.25899468212089,94729.32143703852,0.0008329158765129,SciPy,Timed Out,271.8536002635956
13698959199.731256,6.655169066156588e-08,2.6652373333040744,0.5130562100699132,44698185.89457478,8.354059932722768e-08,1.9363007648627208,1.294948254334649,452022960638.2162,1.205800937562918e-09,2.887642242346555,0.0381062327587496,0.2179454563361545,294.09550544541014,54480.26250908618,0.029659412260194,SciPy,Timed Out,274.9257879257202
201673674851.83484,1.0108491808290587e-09,2.517153564019074,0.1589372623370086,173341362.53322694,4.65542701091312e-06,2.808489043963946,0.4384684711885658,5050278.700951336,1.4407287222589022e-08,2.037030756541502,0.8823677343456826,0.0118674200522894,248.2039265520676,83456.09196199366,0.0006058147627355,SciPy,Timed Out,273.0435357093811
1338134.3456224224,5.758546989205075e-06,1.3177289702173882,1.472341342229698,27229708.15993409,8.011116688001612e-09,2.742251719914755,0.0096091930732614,986478063.8443432,2.645956949976565e-07,2.5495347890128457,0.0923026727934078,0.1074678501401116,271.2274220522241,61789.65525043922,0.0053924843237811,SciPy,Timed Out,275.97257256507874
2147892.0653637038,6.153888300940369e-09,2.196049180737634,0.1702143177524452,104155590.8113774,3.915921677406111e-09,2.6013019080684394,0.0478296446665687,502686.7874820814,4.925992229848172e-09,2.966565957090123,0.7379873789659466,4.730895790862866,295.6149170543294,94857.86964392384,0.0183666094102044,SciPy,Timed Out,272.90309882164
5262900644.358577,7.291888532534526e-08,1.6937259624599943,0.5752891098060705,4847691497.086176,1.3449884575860952e-09,2.881084594296672,0.2780313256543434,5373352.110533561,5.878569053316772e-06,2.124119505387076,0.6394277530766279,7.07071660258171,265.6881478941512,61673.62195632654,0.0035435456848349,SciPy,Timed Out,272.82500314712524
22345.19725554887,5.920812241814151e-07,1.3116004522797973,1.4393898487659218,2443742.5541494386,5.535384289483818e-07,2.961328215825044,0.6172805716200691,7667921701.910521,1.29162189985352e-09,2.5695262775975687,0.1770968771940096,0.0146303077666326,300.69260211894164,64163.3189182784,0.0378558683213916,SciPy,Timed Out,295.70080399513245
7661381.237724623,1.1527104301563046e-09,1.8875079238862549,0.0690185135344966,6288156.67551161,1.2752978771050207e-09,1.9734508480532704,1.1286056384490812,93282.69590146744,4.64828603161647e-08,2.003387784782235,0.5561464649953498,0.8361697778923067,253.90201782970456,88518.98148278738,0.0009420817298075,SciPy,Timed Out,273.5333819389343
1522030808.4420278,1.7020900602712823e-09,1.8966798775656837,0.0424740111335463,6275460771.770221,1.3913494489865212e-08,2.435762724144795,1.2880108299746278,23132549.1470594,2.9177140217940887e-06,2.523700383529687,0.4706929492868005,0.6327816331008888,254.1784309161355,70040.76483293592,0.0012196288158783,SciPy,Timed Out,269.4190652370453
358418067.1775775,3.692323878253684e-07,2.3582075690015505,0.0977679281995618,23283.62053577329,3.9327386149133295e-06,2.2778431209088428,0.7449069590905262,177733080649.67798,1.0704605480307822e-09,2.944058753113614,0.6011786976770808,3.0767220195577485,254.63720351697071,77009.49912090931,0.0011533551052256,SciPy,Timed Out,271.60090708732605
123268.38733123011,6.054563499656288e-07,2.4249144032615133,1.4109813242959586,977968994.5527266,2.521776352698971e-07,2.664615102884651,1.1065329436168316,16157526400.941029,2.0915531978386834e-09,2.796066207693916,0.2524916980937852,0.8558063440441193,249.9134662649845,101863.14807900296,0.0005781375448253,SciPy,Timed Out,272.51497197151184
444637047.38878417,1.0948470327394375e-09,2.76021829454694,0.2053221850196252,205753935.08645663,4.480958400621998e-09,1.3903786873310846,1.1333002036140971,1887078.7961948763,2.5165903488495667e-06,2.1548346977447674,0.4136863633742188,0.1091571398156957,282.8107833152419,100670.08713138034,0.0075104682635683,SciPy,Timed Out,272.2101511955261
374498.0539168053,2.8832986339763546e-06,2.9909282788800864,1.3008593162170397,31952823898.106167,1.1527808746876712e-09,1.9505325394880015,0.0784783927432474,1214798731.6832137,2.510619593176849e-07,1.7747938076317389,0.9321929678565994,0.3729390519851669,293.48123934921995,89502.28963736503,0.0170471734409113,SciPy,Timed Out,272.38484168052673
