mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,error,wall_time
1381257.0178247795,3.4821244287186853e-09,1.422275704610777,0.0126294700792725,0.0745690263584652,292.2755554840678,72582.02385065953,0.019584352602634,SciPy,Timed Out,271.7504372596741
2401050.98719029,2.874720333706868e-09,2.5565354514387355,0.0071647287425649,4.371222471036615,296.1211295223262,78361.02887271934,0.0230949896405335,SciPy,Timed Out,271.4935553073883
612094.94931624,2.4084295903000153e-09,2.6905427776168453,0.002182093986481,0.2050980812284245,274.0066437367917,95302.70526155732,0.0042752614904387,SciPy,Timed Out,273.0982060432434
10199.692866010322,7.718661767600259e-06,1.7423365140277602,1.387265058407217,0.1174769063564339,297.96991655790595,85346.63613202242,0.023716915809512,PySDM,Timed Out,245.3202438354492
75865933.59179108,1.030583682203245e-09,2.1183611943926577,0.0274829168727111,0.7032301942389603,266.4149334721854,52340.29193267693,0.004422424675093,SciPy,Timed Out,270.8993022441864
363470.0921588197,4.078416581825308e-09,2.731499589047943,0.1103615282359587,0.0211431535273027,293.6132392850375,83529.45253891207,0.0184560969908208,SciPy,Timed Out,284.55134201049805
175635489.7631735,1.748141798696637e-09,2.401776167533628,0.1773060048113379,2.481049770108486,262.6391995159736,64070.343848769066,0.0026821909612333,SciPy,Timed Out,274.004248380661
65000649.40067511,2.02259636220841e-09,2.6171355584620484,0.1625241387168298,0.2083798620035556,294.669370706024,98909.12211788472,0.0165818805137078,SciPy,Timed Out,268.8178641796112
915420143.147018,1.406061749299921e-09,1.884820978443148,0.0906307640950589,2.13644193030191,300.8287960326577,84836.24732205184,0.0284480689447598,SciPy,Timed Out,268.9880118370056
3683288762.90952,4.413301748073864e-09,1.2468742817843372,0.0020854392763031,0.0576015577771647,264.0696909918008,88175.17475505668,0.0021801247045785,SciPy,Timed Out,270.87739992141724
2092152.73223632,1.8109053673408531e-09,2.895506422911205,0.1594236011629748,0.6755298720818963,279.7176668762906,61703.49128574384,0.0099673378554163,SciPy,Timed Out,269.348375082016
6056586673.36973,3.206289357759937e-09,1.5790983896411788,0.0466122629701382,1.3249220345369277,268.5529546045489,53203.10602542807,0.0051264869167187,SciPy,Timed Out,269.2247314453125
65837456.71049728,8.547555847080565e-09,2.6282011281930844,0.0389860959249463,0.3739267067779896,307.09909103791125,78252.87137467784,0.045223712522452,SciPy,Timed Out,270.1500563621521
5757.021932305471,3.69792810626073e-06,2.689757312263785,1.4716965990833186,0.0910110815333663,272.81719821806746,50498.457499239885,0.0074388614142001,PySDM,Timed Out,244.9592752456665
3431637018.823202,1.495888133056695e-09,2.323877298212686,0.0080090625217387,6.49257976023105,282.7910220917412,83943.69685001957,0.0090165605468174,SciPy,Timed Out,268.3677878379822
33823608.34078375,2.187276751126229e-09,1.5359971004403503,0.0070898753358149,0.2625771703579244,259.1860561651303,74375.61561827567,0.0017467199766506,SciPy,Timed Out,269.4286684989929
