simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate
42,42520844.663208805,4.363434031715378e-07,1.602251839673243,0.9905646334480712,0.0538262911054323,293.63845050376466,56296.23977831454,1,0.0278282432767774,293.5723912241572,56180.6717461866,2190.0,1.0002734398884938,293.0766029267465,55355.56254571393,0.0273218255946584,0.0005064947850987,0.0463826871003325,0.999,6470.219456419337
43,13495258.872607611,8.454822059164165e-07,1.7474403496099458,0.9368229329385352,0.1015637695252206,279.06493819126814,73401.77356718334,1,0.0079843632315335,278.9364518016628,73177.04817440143,1201.215754105157,1.0007395348862227,278.38840796523857,72259.51738539501,0.0077411225108202,0.0002434028555421,0.1076253190476661,1.0,1502.8171683772966
46,12437430.805086255,5.330099709832146e-07,1.708930401329298,0.2560539190925817,6.336779785349486,287.2900725065203,61101.41237410573,1,0.0168762438110764,287.270928935406,61086.75240314009,34.24452282556836,1.0618319841871555,285.6462725480887,59428.54728132764,0.0165422716138365,0.0003340298639576,6.220509117534245,1.0,214863.14184461217
47,24698070.824343085,6.03029829942216e-07,1.6737746505602111,0.7213692580019415,0.0667180683591198,288.8297049763911,95941.90008289716,1,0.0117733679163329,288.7512067382472,95730.16460265793,1660.0,1.000336670774293,288.346044353661,94685.1408188233,0.0115653502603403,0.0002080889398683,0.0543001241599894,1.0,2149.070347939628
48,4065193796.798659,5.9580329410918174e-09,1.7881136233289032,0.2209946825877277,0.2870750347304971,287.934745999736,66001.42310347101,1,0.0162727000377291,287.91507485244665,65985.63468441236,59.21796723271117,1.0064701612695717,287.7914899845004,65866.2943830636,0.0162603118428401,1.2388888664154195e-05,0.6845572958436463,0.005,0.0
49,17262143.506825745,2.943156871291728e-09,1.768772540497086,1.1223753779841308,1.7971491781329558,297.986203874965,57961.75550994738,1,0.0355996722329097,297.9663452147398,57948.230449941184,70.66747799530997,1.043152312964382,296.93786539645424,57052.59724386683,0.0354237983229085,0.0001758846002214,4.351890292624439,0.25,0.0
53,40378267.05444202,7.68361280985435e-07,1.7256905745180675,0.6165315016703805,1.2057107950140449,295.8741130198398,56448.96118063285,1,0.0320212546804884,295.85807149204544,56418.54371230926,43.12808694674931,1.0059158574283458,295.5720790787851,56049.73911360601,0.0318425186905848,0.000179187940369,0.6269355459171511,1.0,74621.42024709836
54,15449420.958289633,6.217193470346811e-09,1.7510005029007711,0.2147215932043422,1.332060693547756,298.9211469314354,87420.13043379402,1,0.0245312503172025,298.9013958999268,87399.9054215221,72.81950474918254,1.032331159052607,298.1435093666956,86433.33073919179,0.0244551467006866,7.610758147558401e-05,3.264399216158975,0.251,20490.82507729716
57,189993635.64146343,1.1306581216409371e-09,1.7116166991767507,1.041117685837787,0.469834300935021,278.67303800539685,80025.17449227415,1,0.00711734030282,278.65345418313734,80005.48334443104,159.6307460965321,1.034136381441236,278.0048771603497,79287.11534132263,0.0070906889194792,2.6652766796162487e-05,3.448219726774404,0.002,0.0
58,204284229.8552691,5.468297132524064e-08,1.6164113947816805,0.2260794074179707,1.115976400889279,289.35125255706384,88518.6316086163,1,0.0132232001977745,289.3317448609944,88497.60351909387,14.337220739838417,1.005044445281812,289.2283726589827,88351.5494234687,0.0132108310372812,1.2370162898967271e-05,0.5387531498566078,0.888,646746.8566429198
59,72812588.00853601,2.3732703133788777e-07,1.6172405855089265,0.5007634675115581,0.4243413029088653,249.53769121442625,65619.53713976758,1,0.0008684321393995,249.5200757543897,65601.66138861117,54.201652873134655,1.005315584045274,249.3326246505085,65411.95715928745,0.0008599741326583,8.470911710917911e-06,0.5711841558337261,1.0,506109.8716750002
60,76456852.43162315,4.678760318861719e-09,1.7087894593893678,1.123222111358026,0.7166843130083742,286.1720404318271,91723.77649995788,1,0.0103461115327101,286.1524258279643,91701.76359034244,59.99852266823303,1.0161071389645813,285.8159940295417,91252.486647888,0.010323189792888,2.2922905210850466e-05,1.643256124322101,0.128,0.0
61,2475721132.7893977,2.2997252945612606e-09,1.7459757769105957,0.1751201578406836,0.0101232180209848,274.8263398005452,56283.08973390696,1,0.007721173746985,274.82435675197087,56281.66763727875,3480.0,1.020069812475328,274.4854437806236,56036.72785374792,0.007719473427407,1.700327965618751e-06,2.0553936311168863,0.001,348562.1454413276
62,26059254.808894385,5.337096373553922e-09,1.7609900628456037,0.1110487237346407,0.0260581629866039,280.67648173036537,99776.24144363412,1,0.0065474732423813,280.67138006052403,99769.891005636,790.0,1.0095996032337229,280.4901113953252,99526.63204109884,0.006542924235013,4.549066812311104e-06,0.9688992352425484,0.002,0.0
