simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac_product,act_rate,act_frac_S,act_frac_V,mode_wet_radius_mean,mode_wet_radius_stdev,,
49,5.14E+08,2.78E-06,1.543563822,0.729773607,1.168537193,306.14422,76944.59395,1,0.043490422,306.1411631,76937.26884,20.53849902,1.000030872,306.0580503,76714.16558,0.043406662,31.92854646,3.14E-05,0.999796489,0,0.999796489,0,0.00012386,4.972526932,,
50,2.19E+07,1.47E-06,1.662479128,1.322043866,0.036858284,268.5144911,83983.58785,1,0.003228372,268.508447,83973.91831,271.3094307,1.000049366,268.4500601,83877.37953,0.003216856,0.246865615,4.94E-05,0.993480556,0,0.993480556,0,6.06E-05,6.49017464,,
51,7.74E+08,6.84E-08,1.700788947,1.062365895,3.809158251,273.3403686,78600.89602,1,0.004944927,273.3306893,78591.0727,5.775554217,1.006361509,273.1682596,78383.72868,0.004928045,2.58E-05,0.006375429,0.995370182,3.89E+07,0.995370182,0.829833185,1.16E-06,6.091025096,,
52,8.06E+07,8.98E-06,1.889059156,0.795278403,0.066638619,306.8613904,94457.96574,1,0.036488149,306.8587183,94449.18873,165.0694469,1.000001283,306.8253649,94339.09106,0.036459247,7592.040379,1.37E-06,0.846988622,0,0.846988622,0,0.000752986,10.49099371,,
53,5.74E+09,4.97E-08,1.907961603,1.46012596,0.827832157,265.0879611,62478.06455,1,0.003337693,265.0795669,62470.27543,27.78340972,1.000889176,264.9207817,62286.29228,0.003307469,0.000139321,0.000890654,0.392442517,0,0.392442517,0,4.31E-07,11.18481417,,
54,9.33E+09,1.70E-06,1.708721152,0.162654609,0.026667979,273.4442498,86718.93482,1,0.004512811,273.4390713,86709.36717,262.4870811,1.000000178,273.4037491,86644.14826,0.00450339,11.67145413,2.25E-07,0,0,0,0,2.65E-05,7.240859424,,
55,5.50E+07,4.67E-08,1.661057031,0.967105364,0.126565852,308.3347473,62451.82788,1,0.062228447,308.3247601,62444.7043,55.30717725,1.001971355,308.2815123,62401.28086,0.06221764,1.09E-05,0.001991826,0.730444613,96371.81936,0.730444613,0.726530529,6.67E-07,9.78590842,,
56,1.02E+07,1.47E-06,1.547775836,1.344557426,0.958354549,302.8319963,59053.73075,1,0.04721847,302.8230327,59047.06904,1044.498616,1.002512457,298.3353365,50874.30106,0.041913706,0.123212126,0.002512818,1,0,1,0.027470009,9.46E-05,3.277877753,,
57,1.34E+09,1.71E-09,1.920343663,1.197075762,0.07884126,298.0258483,60672.10484,1,0.034007243,298.0159268,60665.03227,291.7254232,1.008171256,297.8321974,60504.92359,0.033983901,2.33E-05,0.008192033,0.000998305,0,0.000998305,0.000969744,5.03E-09,43.71500221,,
58,6.17E+09,2.94E-08,1.836085314,0.91668775,0.146997383,263.4634821,58478.96456,1,0.003138987,263.4547005,58471.55459,40.81705306,1.001077044,263.4162006,58432.86276,0.003133113,9.49E-06,0.0010781,0.112896086,1.61E+07,0.112896086,0.013671415,1.60E-07,10.41430483,,
59,4.19E+08,8.27E-06,1.549277497,0.137842851,1.754794186,264.2656358,56954.11063,1,0.003434349,264.2591052,56947.32076,13.1069502,1.000039386,264.0977682,56776.07052,0.00340004,273.8507386,3.97E-05,1,0,1,0,0.000256987,5.041853489,,
60,4.99E+07,6.83E-08,1.598070294,1.388593171,2.003001673,265.5519885,79330.80751,1,0.002722367,265.5422275,79320.58917,25.46178602,1.017865968,265.1203647,78809.59352,0.002697334,2.55E-05,0.017877126,1,44592.87761,1,0.993786629,5.52E-06,1.292225351,,
61,1.46E+07,8.75E-07,1.68003475,1.464243782,0.010835901,255.3739016,99830.2327,1,0.000946715,255.3662999,99817.6422,2584.002921,1.000045573,255.1541115,99461.93978,0.000932743,0.01522464,4.64E-05,0.9069434,0,0.9069434,0,2.89E-05,6.682174685,,
62,1.42E+09,4.81E-06,1.908245886,0.870553874,0.06218778,299.1848753,96624.28744,1,0.022471425,299.1819009,96615.07608,225.1246159,1.000000166,299.1346373,96468.80639,0.022439845,9474.208123,1.85E-07,0.021601437,0,0.021601437,0,0.000304435,10.89022699,,
